metdiv20,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,HH Income,WGTP
99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89
99999,0,0,0,0,0,0,0,0,0,0,0,529,0,0,0,529,0,23
99999,0,0,0,0,0,0,0,0,0,0,0,4225,0,0,0,4225,0,65
99999,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,313,7
99999,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,9
99999,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,0,0,20
99999,0,0,0,0,0,0,0,0,0,0,100,0,100,100,100,0,0,10
99999,0,0,0,0,0,0,0,0,0,0,121,0,0,121,121,0,0,11
99999,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,66499,12
99999,0,0,0,0,0,0,0,0,0,0,144,0,0,144,144,0,0,12
99999,0,0,0,0,0,0,0,0,0,0,196,0,0,196,196,0,0,14
99999,0,0,0,0,0,0,0,0,0,0,196,0,196,196,196,0,0,14
99999,0,0,0,0,0,0,0,0,0,0,256,0,0,0,0,0,19074,16
99999,0,0,0,0,0,0,0,0,0,0,256,0,0,256,256,0,0,32
99999,0,0,0,0,0,0,0,0,0,0,324,0,0,324,0,0,0,18
99999,0,0,0,0,0,0,0,0,0,0,361,0,0,361,361,0,10,19
99999,0,0,0,0,0,0,0,0,0,0,361,0,361,361,361,0,-2074,19
99999,0,0,0,0,0,0,0,0,0,0,400,0,0,400,400,0,0,20
99999,0,0,0,0,0,0,0,0,0,0,484,0,0,484,0,0,42422,22
99999,0,0,0,0,0,0,0,0,0,0,484,0,0,484,484,0,0,22
99999,0,0,0,0,0,0,0,0,0,0,576,0,0,576,0,0,0,48
99999,0,0,0,0,0,0,0,0,0,0,729,0,0,729,729,0,0,27
99999,0,0,0,0,0,0,0,0,0,0,841,0,0,841,0,0,0,29
99999,0,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,30
99999,0,0,0,0,0,0,0,0,0,0,900,0,0,900,900,0,0,30
99999,0,0,0,0,0,0,0,0,0,0,961,0,0,961,0,0,0,62
99999,0,0,0,0,0,0,0,0,0,0,1024,0,0,1024,0,0,33489,32
99999,0,0,0,0,0,0,0,0,0,0,1024,0,0,1024,1024,0,0,32
99999,0,0,0,0,0,0,0,0,0,0,1089,0,0,1089,1089,0,0,66
99999,0,0,0,0,0,0,0,0,0,0,1225,0,0,0,0,0,0,35
99999,0,0,0,0,0,0,0,0,0,0,1369,0,0,0,0,0,0,37
99999,0,0,0,0,0,0,0,0,0,0,1369,0,0,1369,1369,0,0,37
99999,0,0,0,0,0,0,0,0,0,0,1444,0,0,1444,0,0,-4169,38
99999,0,0,0,0,0,0,0,0,0,0,1521,0,0,1521,1521,0,0,39
99999,0,0,0,0,0,0,0,0,0,0,1764,0,0,0,0,0,52,42
99999,0,0,0,0,0,0,0,0,0,0,1849,0,0,0,0,0,0,43
99999,0,0,0,0,0,0,0,0,0,0,1849,0,0,1849,0,0,0,43
99999,0,0,0,0,0,0,0,0,0,0,1936,0,0,1936,0,0,0,44
99999,0,0,0,0,0,0,0,0,0,0,2025,0,0,2025,0,0,0,45
99999,0,0,0,0,0,0,0,0,0,0,2025,0,0,2025,2025,0,0,45
99999,0,0,0,0,0,0,0,0,0,0,2116,0,0,2116,0,0,0,46
99999,0,0,0,0,0,0,0,0,0,0,2304,0,0,0,0,0,0,48
99999,0,0,0,0,0,0,0,0,0,0,2401,0,0,2401,2401,0,0,49
99999,0,0,0,0,0,0,0,0,0,0,2601,0,0,0,0,0,0,51
99999,0,0,0,0,0,0,0,0,0,0,2601,0,0,2601,0,0,0,51
99999,0,0,0,0,0,0,0,0,0,0,2704,0,0,2704,0,0,0,52
99999,0,0,0,0,0,0,0,0,0,0,2809,0,0,0,0,0,0,53
99999,0,0,0,0,0,0,0,0,0,0,3249,0,0,0,0,0,52116,57
99999,0,0,0,0,0,0,0,0,0,0,3249,0,0,0,3249,0,0,57
99999,0,0,0,0,0,0,0,0,0,0,3364,0,0,0,0,0,0,58
