metdiv20,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,HH Income,WGTP
99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6084,0,0,78
99999,0,0,0,0,0,0,0,0,0,0,0,2601,2601,2601,2601,0,0,51
99999,0,0,0,0,0,0,0,0,0,0,0,4356,0,0,4356,4356,0,66
99999,0,0,0,0,0,0,0,0,0,0,0,4624,0,0,0,4624,0,68
99999,0,0,0,0,0,0,0,0,0,0,0,9801,0,0,9801,9801,0,99
99999,0,0,0,0,0,0,0,0,0,0,36,0,0,0,36,0,0,6
99999,0,0,0,0,0,0,0,0,0,0,81,0,0,81,0,0,0,9
99999,0,0,0,0,0,0,0,0,0,0,81,0,0,81,81,0,16187,9
99999,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,0,0,10
99999,0,0,0,0,0,0,0,0,0,0,100,0,0,100,100,0,0,10
99999,0,0,0,0,0,0,0,0,0,0,100,0,100,100,100,0,0,10
99999,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,11
99999,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,12
99999,0,0,0,0,0,0,0,0,0,0,169,0,0,169,0,0,0,13
99999,0,0,0,0,0,0,0,0,0,0,196,0,0,0,0,0,0,14
99999,0,0,0,0,0,0,0,0,0,0,225,0,0,0,0,0,43777,15
99999,0,0,0,0,0,0,0,0,0,0,225,0,225,225,0,0,0,15
99999,0,0,0,0,0,0,0,0,0,0,256,0,0,256,256,256,0,16
99999,0,0,0,0,0,0,0,0,0,0,324,324,0,0,0,0,0,18
99999,0,0,0,0,0,0,0,0,0,0,400,0,0,400,0,0,0,20
99999,0,0,0,0,0,0,0,0,0,0,576,0,0,0,0,0,0,24
99999,0,0,0,0,0,0,0,0,0,0,625,0,0,625,0,0,0,25
99999,0,0,0,0,0,0,0,0,0,0,900,900,0,0,0,0,0,30
99999,0,0,0,0,0,0,0,0,0,0,961,0,0,0,0,0,5212,31
99999,0,0,0,0,0,0,0,0,0,0,961,0,0,961,961,0,0,31
99999,0,0,0,0,0,0,0,0,0,0,1089,0,0,1089,0,0,0,33
