metdiv20,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,HH Income,WGTP
99999,0,0,0,0,0,0,0,0,0,0,0,0,6400,0,0,0,54200,80
99999,0,0,0,0,0,0,0,0,0,0,529,0,0,0,0,0,0,23
99999,0,0,0,0,0,0,0,0,0,0,1024,0,0,1024,0,0,0,32
99999,0,0,0,0,0,0,0,0,0,0,1089,0,0,1089,0,0,0,33
99999,0,0,0,0,0,0,0,0,0,0,2209,0,0,0,0,0,27100,47
99999,0,0,0,0,0,0,0,0,0,0,2304,0,0,2304,0,0,-302,48
99999,0,0,0,0,0,0,0,0,0,0,2601,0,0,0,0,0,0,51
99999,0,0,0,0,0,0,0,0,0,0,3969,0,0,0,0,0,-407,63
99999,0,0,0,0,0,0,0,0,0,0,4225,0,0,4225,0,0,0,65
99999,0,0,0,0,0,0,0,0,0,0,4489,0,0,4489,0,0,0,67
99999,0,0,0,0,0,0,0,0,0,0,4489,0,0,4489,0,0,306335,67
99999,0,0,0,0,0,0,0,0,0,0,4624,0,0,4624,0,0,0,68
99999,0,0,0,0,0,0,0,0,0,0,5041,0,0,0,0,0,207649,71
99999,0,0,0,0,0,0,0,0,0,0,6084,0,0,0,0,0,0,78
99999,0,0,0,0,0,0,0,0,0,0,6400,0,0,6400,0,0,0,80
99999,0,0,0,0,0,0,0,0,0,0,9025,0,0,9025,0,0,0,95
99999,0,0,0,0,0,0,0,0,0,0,9216,0,9216,9216,0,0,0,96
99999,0,0,0,0,0,0,0,0,0,0,12100,0,0,12100,12100,0,0,110
99999,0,0,0,0,0,0,0,0,0,0,12321,0,0,12321,0,0,0,111
99999,0,0,0,0,0,0,0,0,0,0,14641,0,0,0,0,0,0,121
99999,0,0,0,0,0,0,0,0,0,0,22801,0,0,0,22801,0,3127,151
99999,0,0,0,0,0,0,0,0,0,0,26896,0,0,26896,26896,0,0,164
99999,0,0,0,0,0,0,0,0,0,0,50625,0,0,50625,0,0,0,225
99999,0,0,0,0,0,0,0,0,0,0,56169,0,56169,56169,0,0,0,237
99999,0,0,0,0,0,0,0,0,0,0,84100,0,0,0,0,0,0,290
99999,0,0,0,0,0,0,5625,0,0,0,5625,5625,0,0,0,0,0,75
99999,0,0,0,0,0,0,101124,0,0,0,101124,101124,0,0,0,0,8578,318
99999,0,0,0,0,0,1296,0,0,0,0,0,0,0,1296,1296,0,0,36
99999,0,0,0,0,0,2209,0,0,0,0,0,0,0,2209,0,0,0,47
99999,0,0,0,0,0,3136,0,0,0,0,0,0,0,3136,0,0,31269,56
99999,0,0,0,0,0,10609,0,0,0,0,0,0,0,10609,10609,0,0,103
99999,0,0,0,0,0,26244,0,0,0,0,26244,0,0,26244,0,0,114654,162
99999,0,0,0,0,1,0,0,0,0,0,2704,0,2704,2704,2704,0,0,52
99999,0,0,0,0,1,0,0,0,0,0,3844,0,0,3844,0,0,0,62
99999,0,0,0,0,1,0,0,0,0,0,7744,0,0,7744,0,0,115,88
99999,0,0,0,0,1,34596,0,0,0,0,0,0,34596,0,0,0,0,186
99999,0,0,0,1,0,0,0,0,0,0,121,0,0,0,121,0,0,11
99999,0,0,0,1,0,0,0,0,0,0,1369,0,1369,1369,1369,0,80258,37
99999,0,0,0,1,0,0,0,0,0,0,3721,0,0,3721,3721,0,0,61
