cd118,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,HH Income,WGTP
3001,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
3001,0,0,0,0,0,0,0,0,0,0,14,0,0,14,0,0,0,0
3001,0,0,0,0,0,0,0,0,0,0,163,0,0,163,0,0,0,1
3001,0,0,0,0,0,0,0,0,0,0,2209,0,0,0,0,0,27100,47
3001,0,0,0,0,0,0,0,0,0,0,3969,0,0,0,0,0,-407,63
3001,0,0,0,0,0,0,0,0,0,0,4225,0,0,4225,0,0,0,65
3001,0,0,0,0,0,0,0,0,0,0,4489,0,0,4489,0,0,0,67
3001,0,0,0,0,0,0,0,0,0,0,4489,0,0,4489,0,0,306335,67
3001,0,0,0,0,0,0,0,0,0,0,4624,0,0,4624,0,0,0,68
3001,0,0,0,0,0,0,0,0,0,0,5041,0,0,0,0,0,207649,71
3001,0,0,0,0,0,0,0,0,0,0,6400,0,0,6400,0,0,0,80
3001,0,0,0,0,0,0,0,0,0,0,9216,0,9216,9216,0,0,0,96
3001,0,0,0,0,0,0,0,0,0,0,12100,0,0,12100,12100,0,0,110
3001,0,0,0,0,0,0,0,0,0,0,22801,0,0,0,22801,0,3127,151
3001,0,0,0,0,0,0,0,0,0,0,26896,0,0,26896,26896,0,0,164
3001,0,0,0,0,0,0,0,0,0,0,50625,0,0,50625,0,0,0,225
3001,0,0,0,0,0,0,5625,0,0,0,5625,5625,0,0,0,0,0,75
3001,0,0,0,0,0,0,101124,0,0,0,101124,101124,0,0,0,0,8578,318
3001,0,0,0,0,0,3136,0,0,0,0,0,0,0,3136,0,0,31269,56
3001,0,0,0,0,1,0,0,0,0,0,51,0,0,51,0,0,0,1
3001,0,0,0,0,1,0,0,0,0,0,2704,0,2704,2704,2704,0,0,52
3001,0,0,0,0,1,0,0,0,0,0,7744,0,0,7744,0,0,115,88
3001,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,0,0,0
3001,0,0,0,1,0,0,0,0,0,0,49,0,0,49,49,0,0,1
3001,0,0,0,1,0,0,0,0,0,0,112,0,0,0,112,0,0,1
3001,0,0,0,1,0,0,0,0,0,0,1369,0,1369,1369,1369,0,80258,37
3001,0,0,0,1,0,0,0,0,0,0,6561,0,0,6561,0,6561,33990,81
3001,0,0,0,1,0,0,0,0,0,0,6724,0,0,0,0,0,0,82
3001,0,0,0,1,0,0,0,0,0,0,7225,0,0,7225,0,0,0,85
3001,0,0,0,1,0,0,0,0,0,0,7569,0,7569,7569,7569,0,0,87
3001,0,0,0,1,0,0,0,0,0,0,12100,0,0,0,0,0,52116,110
3001,0,0,0,1,0,0,0,0,0,0,13924,0,0,13924,13924,0,0,118
3001,0,0,0,1,0,0,0,0,0,0,20164,0,0,20164,0,0,0,142
3001,0,0,0,1,0,0,0,0,0,0,43264,0,0,0,43264,0,0,208
3001,0,0,0,1,0,0,0,0,0,0,70756,0,0,0,0,0,4,266
3001,0,0,0,1,0,0,0,29,0,0,29,0,0,0,0,0,-4,1
3001,0,0,0,1,0,841,0,0,0,0,841,841,0,0,0,0,10,29
3001,0,0,0,1,0,9801,0,0,0,0,0,0,0,0,9801,0,0,99
3001,0,0,0,1,0,11449,0,0,0,0,0,0,0,0,0,0,0,107
3001,0,0,0,1,1,0,0,0,0,0,29,0,0,0,0,0,0,1
3001,0,0,0,1,1,0,0,0,0,0,14161,0,0,0,14161,0,10017,119
3001,0,0,0,1,1,0,0,0,0,0,27889,0,0,0,27889,0,62539,167
3001,0,0,0,1,1,0,0,0,0,0,175561,0,0,0,175561,0,0,419
3001,0,0,0,1,1,4225,0,0,0,0,0,0,0,0,0,0,0,65
3001,0,1,0,1,1,442,0,0,0,0,0,0,0,0,0,0,7922,2
3001,0,1,1,1,1,0,0,0,0,0,7744,0,7744,7744,7744,0,13998,88
3001,1,0,0,1,0,0,0,0,0,0,6561,0,0,0,6561,0,281,81
3001,1,0,0,1,1,0,0,0,0,0,114,0,0,0,0,0,782,1
3001,2,0,0,0,0,0,0,0,0,0,784,0,0,0,0,0,521,28
3001,2,0,0,0,0,0,0,0,0,0,24964,0,0,0,0,0,417,158
3001,2,0,0,1,0,0,0,0,0,0,6,0,0,0,0,6,1001,0
3001,2,0,0,1,0,0,0,0,0,0,144,0,0,0,0,0,407,12
3001,4,0,1,1,0,0,0,0,0,0,729,0,0,0,729,0,13863,27
3001,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,834,318
3001,5,0,0,0,0,0,0,0,0,0,22801,0,0,0,0,0,823,151
3001,5,0,0,0,1,0,0,0,0,0,11,0,0,11,0,0,834,0
3001,7,0,0,0,0,0,0,0,0,0,4356,0,0,4356,0,0,1459,66
3001,8,0,0,1,0,0,0,0,0,0,137,0,0,137,137,0,1251,1
3001,8,0,0,1,0,0,0,0,0,0,42849,0,0,42849,0,0,1251,207
3001,9,0,0,0,0,0,0,0,0,0,7921,0,0,7921,0,0,1355,89
3001,9,0,0,0,1,0,0,0,0,0,11236,0,0,11236,0,0,38982,106
3001,10,0,0,0,0,0,0,0,0,0,2,0,2,2,2,0,1459,0
3001,10,0,0,0,1,0,0,0,0,0,5041,0,0,5041,5041,0,1563,71
3001,10,0,0,1,1,0,0,0,0,0,6889,0,0,6889,0,0,1459,83
3001,11,0,0,0,0,0,0,0,0,0,0,12544,0,0,0,0,1668,112
3001,11,0,0,1,0,0,0,0,0,0,900,0,0,0,900,0,64311,30
3001,11,0,1,1,1,3844,0,0,0,0,3844,3844,0,0,3844,0,2293,62
3001,12,0,0,0,0,0,0,0,0,0,30,0,0,30,0,0,1772,1
3001,12,0,0,0,0,0,0,0,0,0,177241,0,0,0,0,0,1876,421
3001,12,0,0,0,0,0,0,0,0,0,258064,0,0,258064,0,0,1876,508
3001,12,0,0,0,1,0,0,0,0,0,6400,0,0,0,0,0,1876,80
3001,12,0,0,1,0,0,0,0,0,0,5776,0,0,5776,0,0,1876,76
3001,12,0,0,1,1,0,0,0,0,0,19881,0,0,0,19881,0,2887,141
3001,12,0,0,1,1,0,15625,0,0,0,15625,0,0,0,0,0,2502,125
3001,13,0,0,0,0,0,0,0,0,0,0,3969,3969,3969,0,0,2397,63
3001,13,0,0,0,0,0,0,0,0,0,2704,0,0,0,0,0,2085,52
