puma22,WGTP,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,HH Income
7201102,51,501,0,0,0,0,2601,0,2601,0,0,2601,2601,0,2601,0,0,117781
7200600,94,99,0,0,1,1,0,0,8836,0,0,0,8836,0,8836,0,8836,15530
7200200,47,145,0,0,0,0,0,0,0,0,0,2209,2209,0,2209,2209,2209,34396
7201300,46,501,0,0,0,0,0,0,0,0,0,2116,2116,2116,2116,0,0,126015
7201101,62,69,0,0,0,0,0,0,0,0,0,3844,3844,0,3844,3844,3844,12404
7201300,31,481,0,0,0,0,0,0,0,0,0,0,961,0,0,961,961,94746
7202300,64,431,0,0,1,0,0,0,0,0,0,0,4096,0,4096,0,4096,86512
7201300,169,0,0,0,1,1,0,0,28561,0,0,0,28561,0,0,0,28561,0
7201500,64,201,0,0,0,0,0,0,0,0,0,4096,4096,0,0,0,0,39087
7201500,84,172,0,0,1,1,0,0,0,0,0,7056,7056,0,7056,0,7056,69522
7202000,55,0,0,0,1,0,0,0,0,0,0,0,3025,0,3025,3025,3025,12508
7201200,87,228,0,0,0,0,0,0,0,0,0,7569,7569,0,7569,7569,7569,41171
7201101,141,1,0,0,1,1,0,0,19881,0,0,0,19881,0,0,0,0,313
7200800,108,55,0,0,1,1,0,0,0,0,0,0,11664,0,11664,11664,11664,9798
7200200,35,66,0,0,0,0,0,0,0,0,0,0,1225,0,1225,1225,1225,8964
7201000,55,335,0,0,0,0,0,0,3025,0,0,3025,3025,0,3025,3025,3025,59099
7201900,113,38,1,0,1,1,0,0,0,0,0,12769,12769,0,0,12769,12769,5941
7201600,56,0,0,0,1,0,0,0,0,0,0,3136,3136,0,0,0,3136,0
7201500,164,168,0,0,0,0,0,0,0,0,0,26896,26896,0,26896,26896,26896,29185
7201300,132,4,0,0,1,1,0,0,0,0,0,0,17424,0,0,0,17424,16260
7201200,105,175,1,0,0,0,0,0,0,0,0,11025,11025,0,11025,0,11025,27413
7201300,104,74,0,0,0,1,0,0,0,0,0,10816,10816,0,10816,10816,10816,12716
7200800,56,133,0,0,0,0,0,0,0,0,0,3136,3136,0,3136,3136,0,18762
7200400,109,86,0,0,0,1,0,0,0,0,0,11881,11881,0,0,11881,11881,20846
7200600,107,69,0,0,1,0,0,0,11449,0,0,11449,11449,0,0,0,11449,16052
7201102,57,501,0,0,0,0,0,0,0,0,0,3249,3249,0,0,0,0,135500
7200200,212,117,0,0,1,0,0,0,0,0,0,0,44944,0,44944,44944,44944,20117
7201102,63,60,0,0,1,1,0,0,0,0,0,3969,3969,0,3969,0,0,17511
7201000,43,394,0,0,0,0,0,0,0,0,0,0,1849,0,0,0,1849,117990
7202200,130,292,0,0,1,0,16900,0,0,0,0,16900,16900,0,0,0,16900,68793
