state,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,HH Income,WGTP
72,0,0,0,0,0,0,0,0,0,0,0,625,0,0,625,625,0,25
72,0,0,0,0,0,0,0,0,0,0,0,784,0,784,784,0,0,28
72,0,0,0,0,0,0,0,0,0,0,0,1600,0,0,0,1600,0,40
72,0,0,0,0,0,0,0,0,0,0,0,2916,0,2916,2916,2916,0,54
72,0,0,0,0,0,0,0,0,0,0,0,3136,0,3136,3136,3136,0,56
72,0,0,0,0,0,0,0,0,0,0,0,3364,0,0,0,0,0,58
72,0,0,0,0,0,0,0,0,0,0,0,4096,0,4096,0,4096,0,64
72,0,0,0,0,0,0,0,0,0,0,0,5625,0,5625,5625,0,0,75
72,0,0,0,0,0,0,0,0,0,0,0,6241,0,6241,6241,6241,0,79
72,0,0,0,0,0,0,0,0,0,0,0,7396,0,7396,7396,0,0,86
72,0,0,0,0,0,0,0,0,0,0,0,7921,0,7921,0,7921,0,89
72,0,0,0,0,0,0,0,0,0,0,0,9801,0,0,0,0,0,198
72,0,0,0,0,0,0,0,0,0,0,0,11449,0,0,0,11449,50104,107
72,0,0,0,0,0,0,0,0,0,0,0,13225,0,0,0,13225,0,115
72,0,0,0,0,0,0,0,0,0,0,0,18496,0,18496,0,0,0,136
72,0,0,0,0,0,0,0,0,0,0,0,25921,0,0,0,25921,0,161
72,0,0,0,0,0,0,0,0,0,0,0,26896,0,0,0,26896,0,164
72,0,0,0,0,0,0,0,0,0,0,0,27556,0,27556,27556,27556,0,166
72,0,0,0,0,0,0,0,0,0,0,0,55696,0,0,0,55696,0,236
72,0,0,0,0,0,0,0,0,0,0,0,57600,0,0,0,57600,0,240
72,0,0,0,0,0,0,0,0,0,0,529,529,0,529,529,529,0,23
72,0,0,0,0,0,0,0,0,0,0,529,529,529,529,529,0,0,23
72,0,0,0,0,0,0,0,0,0,0,625,625,0,625,625,625,0,25
72,0,0,0,0,0,0,0,0,0,0,1089,1089,0,1089,0,1089,0,33
72,0,0,0,0,0,0,0,0,0,0,1156,1156,0,1156,1156,1156,0,34
72,0,0,0,0,0,0,0,0,0,0,1444,1444,0,1444,0,0,0,38
72,0,0,0,0,0,0,0,0,0,0,1681,1681,0,1681,0,1681,0,41
