puma22,WGTP,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,HH Income
2702500,36,61,0,0,0,0,0,0,0,0,0,1296,0,0,0,0,0,9381
2701607,119,501,0,0,0,0,0,14161,0,0,0,14161,0,0,0,0,0,202313
2701601,53,501,0,0,0,0,0,0,0,0,0,2809,0,0,0,0,0,235562
2701800,176,446,0,0,0,0,0,0,0,0,0,30976,0,0,30976,30976,0,98498
2701607,579,501,0,0,0,0,0,0,0,0,0,335241,0,0,0,0,0,312693
2700101,35,0,0,0,1,0,1225,0,0,0,0,0,0,0,1225,0,0,0
2701303,202,401,0,0,0,0,0,0,0,0,0,40804,0,0,40804,40804,0,60454
2702300,48,501,0,0,1,0,0,0,0,0,0,2304,0,0,0,0,0,153220
2702100,27,501,0,0,1,0,0,0,0,0,0,729,0,0,729,0,0,119866
2700600,20,339,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,122993
2700101,10,501,0,1,0,0,100,0,0,0,0,100,0,100,0,100,0,262975
2700201,34,341,0,0,0,0,0,0,0,0,0,1156,0,1156,1156,1156,0,62299
2701703,209,57,0,0,1,1,0,0,0,0,0,43681,0,0,0,43681,43681,19595
2702100,13,501,0,0,0,0,0,0,0,0,0,169,0,0,0,0,0,415986
2701702,150,264,0,0,0,0,0,0,0,0,0,22500,0,22500,22500,0,0,38253
2702200,34,501,0,0,0,0,0,0,0,0,0,1156,0,0,1156,0,0,106524
2702300,23,501,0,0,0,0,0,0,0,0,0,529,0,0,529,0,0,132373
2701800,45,63,0,0,0,0,0,0,0,0,0,2025,0,0,2025,0,0,11465
2701609,84,485,0,0,0,0,0,0,0,0,0,7056,0,0,0,0,0,139774
2702100,28,316,0,0,0,0,0,0,0,0,0,784,0,0,784,0,0,113299
2702600,213,65,0,0,1,1,0,0,0,0,0,45369,0,0,0,0,0,34396
2701702,90,438,0,0,0,0,0,0,0,0,0,8100,0,0,8100,0,0,75776
2700101,35,121,0,0,0,0,0,0,0,0,0,1225,0,0,1225,0,0,16885
2700700,14,449,0,0,0,0,0,0,0,0,0,196,0,196,196,0,0,80362
2700201,22,103,0,0,0,0,0,0,0,0,0,484,0,0,0,0,0,20846
2700700,20,244,0,0,1,0,0,0,0,0,0,400,0,0,0,0,0,77131
2701604,67,101,0,0,0,1,4489,0,0,0,0,0,0,0,0,0,0,45862
2702700,276,283,0,0,0,0,0,0,0,0,0,76176,0,0,0,0,0,78173
2702001,44,501,0,0,0,0,0,0,0,0,0,1936,0,0,1936,0,0,244943
