state,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,HH Income,WGTP
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5041,0,0,71
34,0,0,0,0,0,0,0,0,0,0,0,0,0,961,0,0,104231,31
34,0,0,0,0,0,0,0,0,0,0,0,0,961,961,0,0,502394,31
34,0,0,0,0,0,0,0,0,0,0,0,3844,0,0,3844,0,0,62
34,0,0,0,0,0,0,0,0,0,0,0,6561,0,0,0,6561,0,81
34,0,0,0,0,0,0,0,0,0,0,0,7225,0,7225,7225,0,0,85
34,0,0,0,0,0,0,0,0,0,0,0,9025,0,9025,9025,0,0,95
34,0,0,0,0,0,0,0,0,0,0,0,9216,0,0,0,0,938,96
34,0,0,0,0,0,0,0,0,0,0,0,11025,0,11025,0,11025,0,105
34,0,0,0,0,0,0,0,0,0,0,0,11881,0,11881,11881,11881,0,109
34,0,0,0,0,0,0,0,0,0,0,0,54756,0,0,0,0,0,234
34,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,11
34,0,0,0,0,0,0,0,0,0,0,121,0,0,121,0,0,0,11
34,0,0,0,0,0,0,0,0,0,0,225,0,0,225,0,0,0,15
34,0,0,0,0,0,0,0,0,0,0,324,0,0,324,0,0,0,36
34,0,0,0,0,0,0,0,0,0,0,361,0,0,361,361,0,0,19
34,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,104,20
34,0,0,0,0,0,0,0,0,0,0,441,0,0,441,0,0,0,21
34,0,0,0,0,0,0,0,0,0,0,484,0,0,484,0,0,0,22
34,0,0,0,0,0,0,0,0,0,0,625,0,0,625,0,0,104,25
34,0,0,0,0,0,0,0,0,0,0,625,0,0,625,0,0,125,25
34,0,0,0,0,0,0,0,0,0,0,729,0,0,729,0,0,0,27
34,0,0,0,0,0,0,0,0,0,0,784,0,0,784,784,0,0,28
34,0,0,0,0,0,0,0,0,0,0,900,0,0,0,900,0,5212,30
34,0,0,0,0,0,0,0,0,0,0,900,0,0,900,0,0,0,60
