puma22,WGTP,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,HH Income
4501301,33,501,0,0,0,0,0,1089,0,0,0,0,0,0,1089,0,0,397120
4501001,109,501,0,0,0,0,0,0,0,0,0,11881,0,0,0,0,0,140712
4501402,121,4,0,0,0,0,0,0,14641,0,0,0,0,0,0,0,0,730
4502302,120,384,0,0,0,0,0,0,0,0,0,14400,0,14400,0,0,0,73170
4501301,54,501,0,0,0,0,0,0,0,0,0,2916,0,2916,2916,2916,0,127370
4500201,159,251,0,0,1,0,0,0,0,0,0,25281,0,0,0,0,0,50656
4502001,104,501,0,0,0,0,0,0,0,0,0,10816,0,0,10816,0,0,145090
4502500,53,273,0,0,0,0,0,0,2809,0,0,0,0,2809,2809,0,0,48259
4501700,44,51,0,0,1,1,0,0,1936,0,0,0,0,0,0,0,0,78069
4501403,41,135,0,0,0,0,0,0,0,0,0,1681,0,0,1681,0,0,19491
4501901,64,217,0,0,0,0,0,0,4096,0,0,0,0,0,4096,4096,0,37315
4500401,11,501,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,167082
4501800,88,264,0,0,0,0,0,0,7744,0,0,0,0,0,0,0,0,41692
4502601,73,501,0,0,0,0,0,0,5329,0,0,0,0,5329,5329,0,0,172211
4500602,121,160,0,0,0,0,0,14641,0,0,0,14641,0,0,0,0,0,32312
4500602,61,418,0,0,0,0,0,0,0,0,0,3721,0,3721,3721,3721,0,72243
4502001,156,350,0,0,0,0,0,0,0,0,0,24336,0,0,24336,0,0,48989
4501100,5,24,0,0,1,0,0,0,25,0,0,25,0,0,25,0,0,3335
4502100,169,232,0,0,0,0,0,0,0,0,0,28561,0,0,28561,28561,0,31686
4501800,10,139,0,0,0,0,0,0,0,0,0,100,0,0,100,0,0,25432
4502100,112,31,0,0,1,0,0,0,0,0,0,12544,0,0,0,0,0,4795
4502500,30,195,0,0,0,0,0,0,0,0,0,900,0,0,900,0,0,33771
4500700,83,403,0,0,0,0,0,0,0,0,0,6889,0,0,6889,0,0,62539
4502601,44,141,0,1,1,0,0,0,0,0,0,1936,0,1936,1936,1936,0,25015
4500303,68,501,0,0,0,0,0,0,0,0,0,4624,0,0,0,0,0,176151
4502500,66,501,0,0,0,0,0,0,0,0,0,4356,0,4356,4356,0,0,125598
4502701,52,501,0,0,0,0,0,0,0,0,0,2704,0,0,2704,0,0,159578
4502500,160,250,0,0,0,0,0,0,0,0,0,25600,0,0,25600,25600,0,34605
4501302,37,315,0,0,0,0,0,0,0,0,0,1369,0,0,1369,0,0,57119
4501301,49,308,0,0,0,0,0,0,0,0,0,2401,2401,0,0,0,0,89535
4502202,200,308,0,1,1,0,0,40000,0,0,0,0,0,0,40000,0,40000,151865
4501600,48,501,0,0,0,0,0,0,2304,0,0,0,0,2304,2304,0,0,170522
4501403,65,481,0,0,0,0,0,0,0,0,0,4225,0,0,0,0,0,75046
4501301,52,182,0,0,0,0,0,0,0,0,0,2704,0,0,2704,2704,0,25015
4501501,105,44,0,0,1,1,0,0,0,0,0,11025,0,0,0,11025,0,15635
4500800,343,262,0,0,0,0,0,0,117649,0,0,0,0,0,0,0,0,39608
4502202,101,501,0,0,0,0,0,0,0,0,0,10201,0,10201,10201,0,0,163643
4500501,118,435,0,0,0,0,0,0,13924,0,0,0,0,0,0,0,0,84427
4501200,17,446,0,0,0,0,0,0,0,0,0,289,0,0,0,289,0,89118
4501001,96,100,1,0,1,1,0,0,0,0,0,9216,9216,0,9216,9216,0,37940
4501301,111,171,0,0,1,1,0,0,0,0,0,12321,0,0,0,0,0,65895
4500800,64,192,0,0,1,0,0,0,4096,0,0,0,0,0,4096,0,0,44819
4500401,28,501,0,0,0,0,0,0,0,0,0,784,0,784,784,0,0,252969
4501100,18,294,0,0,0,0,0,0,0,0,0,324,0,324,324,0,0,52220
4502303,42,501,0,0,0,0,0,0,0,0,0,1764,0,0,1764,0,0,194599
4502702,68,480,0,0,0,0,0,0,0,0,0,4624,0,4624,0,0,0,93808
4500700,244,54,0,1,1,1,0,0,0,0,0,59536,0,0,0,59536,0,8338
